Geo_NAME,Geo_QName,Geo_AREALAND,Geo_AREAWATR,Geo_SUMLEV,Geo_GEOCOMP,Geo_REGION,Geo_DIVISION,Geo_FIPS,Geo_STATE,SE_T001_001,SE_T002_001,SE_T002_002,SE_T002_006,SE_T02A_001,SE_T02A_002,SE_T02A_003,SE_T003_001,SE_T003_002,SE_T003_003,SE_T008_001,SE_T008_002,SE_T008_003,SE_T008_004,SE_T008_005,SE_T008_006,SE_T008_007,SE_T008_008,SE_T008_009,SE_T008_010,SE_T008_011,SE_T008_012,SE_T008_013,SE_T044_001,SE_T044_002,SE_T044_003,SE_T054_001,SE_T054_002,SE_T054_003,SE_T054_004,SE_T054_005,SE_T054_006,SE_T054_007,SE_T054_008,SE_T055_001,SE_T055_002,SE_T055_003,SE_T055_004,SE_T055_005,SE_T055_006,SE_T055_007,SE_T055_008,SE_T055_009,SE_T055_010,SE_T055_011,SE_T055_012,SE_T055_013,SE_T055_014,SE_T055_015,SE_T055_016,SE_T055_017,SE_T058_001,SE_T058_002,SE_T058_003,SE_T058_004,SE_T058_005,SE_T058_006,SE_T058_007,SE_T058_008,SE_T058_009,SE_T063_001,SE_T063_002,SE_T063_003,SE_T063_004,SE_T063_005,SE_T063_006,SE_T063_007,SE_T063_008,SE_T063_009,SE_T063_010,SE_T063_011,SE_T063_012,SE_T063_013,SE_T063_014,SE_T063_015,SE_T063_016,SE_T063_017,SE_T063_018,SE_T068_001,SE_T069_001,SE_T069_002,SE_T069_003,SE_T070_001,SE_T070_002,SE_T070_003,SE_T071_001,SE_T071_002,SE_T071_003,SE_T071_004
"South Carolina","South Carolina","77856841944","5075831885","040","00","3","5","45","45",4625364,4625364,153.8675,30060.6959290931,32020.49,30060.7,1959.79,4625364,2250101,2375263,4625364,302297,295853,297286,185038,476445,592056,601292,659428,583795,369043,192114,70717,37.9,36.4,39.2,4625364,3060000,1290684,19524,59051,2706,113464,79935,4625364,4389682,2962740,1279998,16614,58307,2113,5714,64196,235682,97260,10686,2910,744,593,107750,15739,1801181,1216415,849959,366456,85354,281102,584766,477894,106872,4625364,4486210,3760002,1216415,849959,1273940,141790,50185,37103,87794,102816,726208,477894,106872,141442,139154,63765,75389,2137683,1801181,1248805,552376,2137683,1801181,336502,336502,96715,157943,81844
"South Dakota","South Dakota","196349580075","3379099963","040","00","2","4","46","46",814180,814180,10.7396,75810.9980308789,77115.68,75811,1304.678,814180,407381,406799,814180,59621,55531,53960,33685,81539,105429,93112,116918,97804,57627,39728,19226,36.9,35.6,38.2,814180,699392,10207,71817,7610,394,7477,17283,814180,792061,689502,9959,69476,7553,313,458,14800,22119,9890,248,2341,57,81,7019,2483,322282,206964,161617,45347,14233,31114,115318,94638,20680,814180,780130,637607,206964,161617,220520,14488,5322,3385,8276,17035,142523,94638,20680,27205,34050,14797,19253,363438,322282,219558,102724,363438,322282,41156,41156,11008,18375,11773
"Tennessee","Tennessee","106797885992","2355218865","040","00","3","6","47","47",6346105,6346105,153.9013,41234.8950620621,42144.25,41234.89,909.3552,6346105,3093504,3252601,6346105,407813,412181,418941,257066,606364,823997,854130,926436,785715,487074,266471,99917,38,36.7,39.2,6346105,4921948,1057315,19994,91242,3642,141955,110009,6346105,6056046,4800782,1049391,16302,90311,2767,6422,90071,290059,121166,7924,3692,931,875,135533,19938,2493552,1679177,1214794,464383,118949,345434,814375,671286,143089,6346105,6192633,5192258,1679177,1214794,1751644,174883,61841,50662,118515,140742,1000375,671286,143089,186000,153472,84371,69101,2812133,2493552,1700592,792960,2812133,2493552,318581,318581,102350,118962,97269
"Texas","Texas","676586997978","19074619314","040","00","3","7","48","48",25145561,25145561,96.25769,261231.704288977,268596.5,261231.7,7364.752,25145561,12472280,12673281,25145561,1928473,1928234,1881883,1127234,2572969,3613473,3458382,3435336,2597691,1472256,824451,305179,33.6,32.6,34.6,25145561,17701552,2979598,170972,964596,21656,2628186,679001,25145561,15684640,11397345,2886825,80586,948426,17920,33980,319558,9460921,6304207,92773,90386,16170,3736,2594206,359443,8922933,6237148,4515013,1722135,467431,1254704,2685785,2163266,522519,25145561,24564422,21196464,6237148,4515013,7861974,767401,315827,257593,679707,561801,3367958,2163266,522519,682173,581139,375392,205747,9977436,8922933,5685353,3237580,9977436,8922933,1054503,1054503,410819,362809,280875
"Utah","Utah","212818329473","7063566754","040","00","4","8","49","49",2763885,2763885,33.63634,82169.619936463,84896.88,82169.62,2727.259,2763885,1388317,1375568,2763885,263924,249572,227951,129580,318029,445687,332475,306964,240241,138224,80247,30991,29.2,28.7,29.7,2763885,2379560,29287,32927,55285,24554,166754,75518,2763885,2405545,2221719,25951,27081,54176,23909,3724,48985,358340,157841,3336,5846,1109,645,163030,26533,877692,660234,535827,124407,38858,85549,217458,164018,53440,2763885,2717733,2411819,660234,535827,991058,62918,24926,16294,61934,58628,305914,164018,53440,88456,46152,22161,23991,979709,877692,618137,259555,979709,877692,102017,102017,21584,65618,14815
"Vermont","Vermont","23871030489","1035236182","040","00","1","1","50","50",625741,625741,67.8924,9216.65710265839,9616.364,9216.657,399.7069,625741,308206,317535,625741,31952,34654,37637,24990,64873,69622,78359,102603,89973,49538,28743,12797,41.5,40.4,42.7,625741,596292,6277,2207,7947,160,2105,10753,625741,616533,590223,5943,2023,7875,140,537,9792,9208,6069,334,184,72,20,1568,961,256442,160360,124395,35965,11326,24639,96082,72233,23849,625741,600412,473826,160360,124395,153485,7002,2946,3319,5678,16641,126586,72233,23849,30504,25329,5571,19758,322539,256442,181407,75035,322539,256442,66097,66097,6232,54450,5415
"Virginia","Virginia","102278849309","8507698663","040","00","3","5","51","51",8001024,8001024,202.6084,39490.0858660349,42774.93,39490.09,3284.841,8001024,3925983,4075041,8001024,509625,511849,511246,320957,802099,1090419,1108928,1214000,954964,549804,304730,122403,37.5,36.1,38.7,8001024,5486852,1551399,29225,439890,5980,254278,233400,8001024,7369199,5186450,1523704,20679,436298,5061,15338,181669,631825,300402,27695,8546,3592,919,238940,51731,3056058,2047188,1534844,512344,133142,379202,1008870,795117,213753,8001024,7761190,6457013,2047188,1534844,2205094,168306,80607,73467,159005,188502,1304177,795117,213753,295307,239834,101333,138501,3364939,3056058,2055186,1000872,3364939,3056058,308881,308881,87901,135527,85453
"Washington","Washington","172119001610","12541835586","040","00","4","9","53","53",6724540,6724540,101.1886,66455.5198865786,71297.95,66455.52,4842.43,6724540,3349707,3374833,6724540,439657,429877,438233,273587,650053,933781,908305,988205,835165,457220,253186,117271,37.3,36.2,38.3,6724540,5196362,240042,103869,481067,40475,349799,312926,6724540,5968750,4876804,229603,88735,475634,38783,11838,247353,755790,319558,10439,15134,5433,1692,337961,65573,2620076,1687455,1288849,398606,124402,274204,932621,711619,221002,6724540,6585165,5356913,1687455,1288849,1846348,107015,63117,54363,124785,184981,1228252,711619,221002,295631,139375,57844,81531,2885677,2620076,1673920,946156,2885677,2620076,265601,265601,76989,140275,48337
"West Virginia","West Virginia","62258675601","496845871","040","00","3","5","54","54",1852994,1852994,77.08536,24038.2101044484,24230.04,24038.21,191.8333,1852994,913586,939408,1852994,104060,106016,109045,68297,168999,220698,237494,276156,264825,163520,97963,35921,41.3,40.1,42.6,1852994,1739988,63124,3787,12406,428,6119,27142,1852994,1830726,1726256,62122,3493,12285,387,1192,24991,22268,13732,1002,294,121,41,4927,2151,763831,502332,380426,121906,36374,85532,261499,217308,44191,1852994,1803612,1487025,502332,380426,470258,43759,12498,12200,24521,41031,316587,217308,44191,55088,49382,28323,21059,881917,763831,561013,202818,881917,763831,118086,118086,20887,53379,43820
"Wisconsin","Wisconsin","140268064888","29366760483","040","00","2","3","55","55",5686986,5686986,105.0077,54157.8033071968,65496.38,54157.8,11338.57,5686986,2822400,2864586,5686986,358443,368617,375927,236505,549256,721694,725666,873753,699811,400496,258313,118505,38.5,37.3,39.6,5686986,4902067,359148,54526,129234,1827,135867,104317,5686986,5350930,4738411,350898,48511,128052,1565,4095,79398,336056,163656,8250,6015,1182,262,131772,24919,2279768,1468917,1131344,337573,103625,233948,810851,642507,168344,5686986,5536772,4506753,1468917,1131344,1582898,72135,40730,31322,58964,120443,1030019,642507,168344,219168,150214,74295,75919,2624358,2279768,1551558,728210,2624358,2279768,344590,344590,66963,233255,44372
"Wyoming","Wyoming","251470069067","1864445306","040","00","4","8","56","56",563626,563626,5.805003,97093.1408794172,97813.01,97093.14,719.8664,563626,287437,276189,563626,40203,37213,35955,22031,56429,77649,66966,83577,73513,39568,21920,8602,36.8,36,37.7,563626,511279,4748,13336,4426,427,17049,12361,563626,513395,483874,4351,11784,4279,365,437,8305,50231,27405,397,1552,147,62,16612,4056,226879,146644,115534,31110,10993,20117,80235,63480,16755,563626,549914,447617,146644,115534,149130,9574,3644,2769,6933,13389,102297,63480,16755,22062,13712,6701,7011,261868,226879,157077,69802,261868,226879,34989,34989,7762,19371,7856
